Día,Tiempo esperado total,Tiempo minimo esperado,Tiempo maximo esperado,Parqueos Libres,Carros sin antender,Almorzaron,Cantidad alumnos,Cantidad parqueos,Salidas por periodos libres,Parametros
0,150,20,30,0,0,0,35,25,3,"{'yellow': 3, 'orange': 12, 'red': 11, 'skyblue': 9}"
0,610,20,140,0,1,0,40,25,4,"{'yellow': 4, 'orange': 14, 'red': 12, 'skyblue': 10}"
0,1120,20,180,0,1,0,43,25,4,"{'yellow': 4, 'orange': 15, 'red': 13, 'skyblue': 11}"
0,2580,30,350,0,3,0,47,25,4,"{'yellow': 4, 'orange': 17, 'red': 14, 'skyblue': 12}"
0,4060,30,450,0,4,0,51,25,4,"{'yellow': 5, 'orange': 18, 'red': 15, 'skyblue': 13}"
0,6260,30,610,0,5,0,55,25,5,"{'yellow': 5, 'orange': 19, 'red': 17, 'skyblue': 14}"
0,7570,30,470,0,4,0,60,25,4,"{'yellow': 6, 'orange': 21, 'red': 18, 'skyblue': 15}"
0,0,0,0,4,0,0,23,25,1,"{'yellow': 2, 'orange': 8, 'red': 8, 'skyblue': 5}"
0,0,0,0,0,0,0,27,25,1,"{'yellow': 2, 'orange': 10, 'red': 10, 'skyblue': 5}"
0,50,10,20,0,0,0,31,25,2,"{'yellow': 3, 'orange': 11, 'red': 11, 'skyblue': 6}"
0,110,10,20,0,0,0,34,25,3,"{'yellow': 3, 'orange': 12, 'red': 12, 'skyblue': 7}"
0,320,20,50,0,0,0,40,25,4,"{'yellow': 4, 'orange': 14, 'red': 14, 'skyblue': 8}"
0,730,20,140,0,1,0,43,25,4,"{'yellow': 4, 'orange': 15, 'red': 15, 'skyblue': 9}"
0,1590,20,330,0,3,0,47,25,4,"{'yellow': 4, 'orange': 17, 'red': 17, 'skyblue': 9}"
0,3090,30,450,0,4,0,51,25,4,"{'yellow': 5, 'orange': 18, 'red': 18, 'skyblue': 10}"
0,4930,30,610,0,5,0,54,25,5,"{'yellow': 5, 'orange': 19, 'red': 19, 'skyblue': 11}"
0,6580,30,470,0,4,0,60,25,4,"{'yellow': 6, 'orange': 21, 'red': 21, 'skyblue': 12}"
0,0,0,0,4,0,0,23,25,1,"{'yellow': 2, 'orange': 8, 'red': 10, 'skyblue': 3}"
0,0,0,0,0,0,0,27,25,1,"{'yellow': 2, 'orange': 10, 'red': 11, 'skyblue': 4}"
0,50,10,20,0,0,0,31,25,2,"{'yellow': 3, 'orange': 11, 'red': 13, 'skyblue': 4}"
0,110,10,20,0,0,0,34,25,5,"{'yellow': 3, 'orange': 12, 'red': 14, 'skyblue': 5}"
0,270,20,30,0,0,0,40,25,4,"{'yellow': 4, 'orange': 14, 'red': 16, 'skyblue': 6}"
0,390,20,30,0,0,0,43,25,4,"{'yellow': 4, 'orange': 15, 'red': 18, 'skyblue': 6}"
0,1110,20,140,0,3,0,47,25,4,"{'yellow': 4, 'orange': 17, 'red': 19, 'skyblue': 7}"
0,1950,30,190,0,5,0,51,25,5,"{'yellow': 5, 'orange': 18, 'red': 21, 'skyblue': 7}"
0,3320,30,470,0,4,0,54,25,4,"{'yellow': 5, 'orange': 19, 'red': 22, 'skyblue': 8}"
0,5590,30,470,0,4,0,60,25,4,"{'yellow': 6, 'orange': 21, 'red': 24, 'skyblue': 9}"
0,0,0,0,3,0,0,24,25,1,"{'yellow': 2, 'orange': 10, 'red': 2, 'skyblue': 10}"
0,0,0,0,1,0,0,26,25,1,"{'yellow': 2, 'orange': 11, 'red': 2, 'skyblue': 11}"
0,850,20,350,0,0,0,32,25,3,"{'yellow': 3, 'orange': 13, 'red': 3, 'skyblue': 13}"
0,1520,20,350,0,1,0,34,25,3,"{'yellow': 3, 'orange': 14, 'red': 3, 'skyblue': 14}"
